Name,Address,Phone,Website,Operating_Hours,Dinner_cost,Lunch_cost,Rating,Reviews
Sushizammai,1-chome-1-15 Ōkubo Shinjuku City Tokyo,050-5593-9051,https://tabelog.com/en/tokyo/A1304/A130401/13054979/,11：00～翌7：00,"￥3,000～￥3,999","￥1,000～￥1,999",3.18,97
Sushiichikan,22-8 Sakuragaokacho Shibuya City Tokyo-to,050-5595-2988,https://tabelog.com/en/tokyo/A1303/A130301/13218711/,ランチタイム(月曜、火曜、木曜、金曜のみ)11:30~14:00ディナータイム17:30~23:00,"￥10,000～￥14,999","￥2,000～￥2,999",3.09,14
ITAMAE SUSHI,1-chome-19-1 Kabukicho Shinjuku City Tokyo-to,050-5589-2295,https://tabelog.com/en/tokyo/A1304/A130401/13180988/,【店内営業/テイクアウト】 全日08:00～翌05:00［ランチタイム］11:30～15:00,"￥3,000～￥3,999",～￥999,3.25,111
sushishiorianyamashiro,5-chome-12-10 Shiba Minato City Tokyo-to,050-5456-8458,https://tabelog.com/en/tokyo/A1314/A131402/13244983/,ランチ　　12:00~14:00ディナー　17:00~23:00,"￥10,000～￥14,999","￥1,000～￥1,999",3.41,48
Ginzasushikouhonten,2-chome-4-1 Marunouchi Chiyoda City Tokyo-to,050-5596-3820,https://tabelog.com/en/tokyo/A1302/A130201/13000301/,月～土 ランチ11:00～14:30（L.O.14:00）ディナー17:30～23:00（L.O.21:30）日・祝ランチ11:00～14:30（L.O.14:00）ディナー17:30～22:00（L.O.20:30）,"￥10,000～￥14,999","￥5,000～￥5,999",3.53,48
Yasaka,2-chome-8-13 Ebisu Shibuya City Tokyo-to,050-5597-7830,https://tabelog.com/en/tokyo/A1303/A130302/13238158/,11:30〜14:00 17:00〜22:00,"￥10,000～￥14,999","￥2,000～￥2,999",3.18,21
Kanazawamaimonzushitamahime,1-chome-1-1 Ōtemachi Chiyoda City Tokyo-to,n/a,https://tabelog.com/en/tokyo/A1302/A130201/13205678/,11:00～20:00（LO19:00）※酒類の提供に関しては行政の要請に依り休止しております。予めご了承ください。,"￥5,000～￥5,999","￥1,000～￥1,999",3.21,45
Uogashijiroumatsu,5-chome-2-1 Ginza Chuo City Tokyo-to,050-5590-5763,https://tabelog.com/en/tokyo/A1301/A130101/13192823/,コロナ禍における営業時間変更のお知らせ[平日][土日祝］ランチ11:00～16：00 （L.O.15:30）ディナー16：00～20：00 （L.O.19:00）2021年4月12日から当面の間、営業時間変更となりました。※東急プラザ銀座のホームページをご確認ください。,"￥6,000～￥7,999","￥2,000～￥2,999",3.4,35
sushikiichi,2-chome-3-1 Ebisuminami Shibuya City Tokyo-to,050-5596-1979,https://tabelog.com/en/tokyo/A1303/A130302/13018544/,17:30~20:00,"￥10,000～￥14,999","￥4,000～￥4,999",3.21,33
Sakeageuosushitairyouakabane,Akabane Kita City Tokyo,050-5457-0355,https://tabelog.com/en/tokyo/A1323/A132305/13228566/,月曜〜土曜              12時〜23時日曜、連休最終日     12時〜22時蔓延防止措置に伴い４月12日〜5月11日まで店内営業をドリンクラスト19時フードラストオーダー19時30分店内営業を20時までとさせて頂きます。時短営業期間は国の方針に遵守するものと致します。皆さまのご理解と御協力をお願い致します。赤羽大漁,"￥4,000～￥4,999","￥1,000～￥1,999",3.22,11
Asabusannohashitakenami,2-chome-4-8 Minamiazabu Minato City Tokyo-to,050-5456-5052,https://tabelog.com/en/tokyo/A1307/A130702/13242237/,[月曜日～土曜日]17:00～21:00,"￥20,000～￥29,999",-,3.07,5
Sushizammaitakumi,6-chome-4-6 Ginza Chuo City Tokyo-to,050-5593-9062,https://tabelog.com/en/tokyo/A1301/A130101/13122491/,［月～土］11：00～翌5：00［日］11：00～23：00,"￥3,000～￥3,999","￥1,000～￥1,999",3.18,54
sushitakaya,7-chome-3-9 Ginza Chuo City Tokyo-to,050-5593-9734,https://tabelog.com/en/tokyo/A1301/A130103/13020506/,【ランチ】　12:00〜14:00【ディナー】17:30～24:00(最終入店22:30）,"￥15,000～￥19,999","￥5,000～￥5,999",3.65,51
